2024-02-07 22:15:07,874   [  DEBUG     ] example log
2024-02-07 22:15:07,877   [  INFO      ] example log
2024-02-07 22:15:07,877   [  WARNING   ] example log
2024-02-07 22:15:07,878   [  ERROR     ] example log
2024-02-07 22:15:07,878   [  CRITICAL  ] example log
2024-02-07 23:37:17,901   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:37:17,902   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:37:31,588   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:37:31,589   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:37:50,032   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:37:50,032   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:37:50,034   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:37:50,034   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:37:50,034   [  INFO      ] | MainThread config.py 61 | screen resolution: 
2024-02-07 23:37:50,034   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:38:45,875   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:38:45,875   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:38:45,877   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:38:45,877   [  INFO      ] | MainThread config.py 61 | screen resolution: 
2024-02-07 23:38:45,877   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:38:58,168   [  DEBUG     ] | MainThread config.py 39 | ConfigMeta __call__ called
2024-02-07 23:38:58,169   [  DEBUG     ] | MainThread config.py 41 | Config already exists
2024-02-07 23:38:58,171   [  INFO      ] | MainThread config.py 59 | Image path: C:\Users\lukas\Desktop\Extra\NASA_API\images
2024-02-07 23:38:58,171   [  INFO      ] | MainThread config.py 60 | screen resolution: (1920, 1080)
2024-02-07 23:38:58,172   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:39:19,678   [  DEBUG     ] | MainThread config.py 39 | ConfigMeta __call__ called
2024-02-07 23:39:19,678   [  DEBUG     ] | MainThread config.py 41 | Config already exists
2024-02-07 23:39:19,680   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:39:19,680   [  INFO      ] | MainThread config.py 59 | Image path: 
2024-02-07 23:39:19,680   [  INFO      ] | MainThread config.py 60 | screen resolution: (1920, 1080)
2024-02-07 23:39:19,680   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:40:03,049   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:40:03,049   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:40:03,050   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:40:18,277   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:40:18,277   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:40:18,278   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:40:18,279   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:40:18,279   [  INFO      ] | MainThread config.py 61 | screen resolution: (1920, 1080)
2024-02-07 23:40:18,279   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:40:41,889   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:40:41,889   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:40:41,890   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:40:41,891   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:40:41,891   [  INFO      ] | MainThread config.py 61 | screen resolution: (1920, 1080)
2024-02-07 23:40:41,891   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:41:13,383   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:41:13,384   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:41:13,384   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:41:13,384   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:41:13,384   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:41:13,384   [  INFO      ] | MainThread config.py 61 | screen resolution: 
2024-02-07 23:41:13,385   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:41:28,971   [  DEBUG     ] | MainThread config.py 40 | ConfigMeta __call__ called
2024-02-07 23:41:28,971   [  DEBUG     ] | MainThread config.py 42 | Config already exists
2024-02-07 23:41:28,971   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:41:28,971   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:41:28,972   [  INFO      ] | MainThread config.py 60 | Image path: 
2024-02-07 23:41:28,972   [  INFO      ] | MainThread config.py 61 | screen resolution: 
2024-02-07 23:41:28,972   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:43:36,281   [  DEBUG     ] | MainThread config.py 44 | ConfigMeta __call__ called
2024-02-07 23:43:36,281   [  DEBUG     ] | MainThread config.py 46 | Config already exists
2024-02-07 23:43:36,281   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:43:36,282   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:43:36,282   [  INFO      ] | MainThread config.py 64 | Image path: 
2024-02-07 23:43:36,282   [  INFO      ] | MainThread config.py 65 | screen resolution: (0, 0)
2024-02-07 23:43:36,282   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:49:42,423   [  DEBUG     ] | MainThread config.py 44 | ConfigMeta __call__ called
2024-02-07 23:49:42,423   [  DEBUG     ] | MainThread config.py 46 | Config already exists
2024-02-07 23:49:42,424   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:49:57,707   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:49:57,709   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:49:57,711   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:50:14,157   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:50:22,661   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-07 23:50:22,662   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-07 23:50:22,663   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:50:25,877   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:50:25,877   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:50:25,878   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:52:07,612   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:52:07,613   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:52:07,614   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:54:02,829   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:54:48,056   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-07 23:54:48,057   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-07 23:54:48,059   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:54:49,774   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:54:49,774   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:54:49,774   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:55:18,503   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:55:18,504   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:55:42,772   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:55:47,541   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:55:47,542   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:55:50,523   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:56:05,085   [  DEBUG     ] | MainThread config.py 44 | ConfigMeta __call__ called
2024-02-07 23:56:05,086   [  DEBUG     ] | MainThread config.py 46 | Config already exists
2024-02-07 23:56:26,239   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:56:27,719   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:56:30,404   [  INFO      ] | MainThread config.py 64 | Image path: 
2024-02-07 23:56:30,405   [  INFO      ] | MainThread config.py 65 | screen resolution: (0, 0)
2024-02-07 23:56:30,405   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:56:54,370   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:56:54,371   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:56:54,371   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:56:54,371   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:56:54,371   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-07 23:56:54,372   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-07 23:56:54,372   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:56:59,428   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:56:59,428   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:56:59,428   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:56:59,429   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:56:59,429   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-07 23:56:59,429   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-07 23:56:59,429   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-07 23:57:31,781   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-07 23:57:31,781   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-07 23:57:31,781   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-07 23:57:31,781   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-07 23:57:31,782   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-07 23:57:31,782   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-07 23:57:31,782   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:05:33,397   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:05:33,397   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:05:33,397   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:05:42,217   [  DEBUG     ] | MainThread config.py 45 | ConfigMeta __call__ called
2024-02-08 00:05:42,218   [  DEBUG     ] | MainThread config.py 47 | Config already exists
2024-02-08 00:05:42,218   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:05:42,218   [  CRITICAL  ] | MainThread config.py 23 | image_path should be of type str, current <class 'int'>
2024-02-08 00:05:42,218   [  INFO      ] | MainThread config.py 65 | Image path: 
2024-02-08 00:05:42,219   [  INFO      ] | MainThread config.py 66 | screen resolution: (0, 0)
2024-02-08 00:05:42,219   [  DEBUG     ] | MainThread main.py 6 | App start with args: []
2024-02-08 00:06:07,118   [  DEBUG     ] | MainThread config.py 46 | ConfigMeta __call__ called
2024-02-08 00:06:07,119   [  DEBUG     ] | MainThread config.py 48 | Config already exists
2024-02-08 00:06:07,119   [  CRITICAL  ] | MainThread config.py 23 | Screen resolution should be of type tuple[int, int], current <class 'int'>
2024-02-08 00:06:11,821   [  DEBUG     ] | MainThread config.py 46 | ConfigMeta __call__ called
